Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
December 31 2020,Utah,UT,Passenger,0,1,1,133,134,0.75
August 31 2023,Snohomish,WA,Truck,198,0,198,121218,121416,0.16
January 31 2017,Dallas,TX,Passenger,1,0,1,232,233,0.43
October 31 2020,Fairbanks North Star,AK,Passenger,0,1,1,96,97,1.03
December 31 2018,Volusia,FL,Passenger,0,1,1,40,41,2.44
May 31 2021,Ulster,NY,Passenger,1,0,1,13,14,7.14
January 31 2024,Yuba,CA,Passenger,1,0,1,44,45,2.22
February 28 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
December 31 2022,Orange,NC,Passenger,0,1,1,6,7,14.29
August 31 2022,Los Angeles,CA,Passenger,5,7,12,799,811,1.48
June 30 2020,Clallam,WA,Truck,1,0,1,21753,21754,0.00
February 28 2019,Hennepin,MN,Passenger,2,0,2,105,107,1.87
February 28 2019,Goochland,VA,Passenger,1,1,2,248,250,0.80
December 31 2022,Contra Costa,CA,Passenger,0,3,3,208,211,1.42
October 31 2020,Jones,GA,Passenger,1,0,1,1,2,50.00
December 31 2019,DuPage,IL,Passenger,3,0,3,66,69,4.35
October 31 2018,Portsmouth,VA,Passenger,0,1,1,77,78,1.28
November 30 2022,Broward,FL,Passenger,1,0,1,75,76,1.32
April 30 2019,Guadalupe,TX,Passenger,1,0,1,82,83,1.20
October 31 2022,Marin,CA,Passenger,1,1,2,29,31,6.45
November 30 2017,Hamilton,TN,Passenger,1,0,1,21,22,4.55
February 29 2024,Rockdale,GA,Passenger,1,0,1,5,6,16.67
September 30 2023,Garfield,WA,Truck,0,0,0,976,976,0.00
January 31 2023,Klickitat,WA,Passenger,126,53,179,15147,15326,1.17
December 31 2022,Franklin,WA,Passenger,252,120,372,61693,62065,0.60
March 31 2019,Grays Harbor,WA,Truck,0,0,0,20374,20374,0.00
February 28 2023,Kern,CA,Passenger,1,1,2,200,202,0.99
March 31 2024,Lane,OR,Passenger,0,1,1,47,48,2.08
March 31 2023,Contra Costa,CA,Passenger,0,3,3,198,201,1.49
July 31 2018,Portsmouth,VA,Passenger,0,1,1,72,73,1.37
June 30 2020,Saginaw,MI,Passenger,1,0,1,12,13,7.69
June 30 2017,Sedgwick,KS,Passenger,0,1,1,111,112,0.89
September 30 2019,Sangamon,IL,Passenger,1,0,1,6,7,14.29
November 30 2020,Portsmouth,VA,Passenger,0,1,1,78,79,1.27
May 31 2022,St. Clair,IL,Passenger,1,0,1,121,122,0.82
June 30 2020,Hillsborough,FL,Passenger,0,1,1,185,186,0.54
August 31 2020,Pend Oreille,WA,Passenger,8,5,13,9226,9239,0.14
December 31 2022,Kern,CA,Passenger,1,1,2,203,205,0.98
September 30 2022,Bell,TX,Passenger,1,0,1,324,325,0.31
November 30 2019,Stafford,VA,Passenger,1,1,2,100,102,1.96
August 31 2021,Contra Costa,CA,Passenger,2,4,6,257,263,2.28
April 30 2018,DeKalb,GA,Passenger,1,0,1,85,86,1.16
May 31 2023,Palm Beach,FL,Passenger,1,1,2,52,54,3.70
October 31 2018,Dakota,MN,Passenger,0,2,2,33,35,5.71
September 30 2022,Meade,KY,Passenger,1,0,1,22,23,4.35
May 31 2022,Hennepin,MN,Passenger,2,0,2,59,61,3.28
March 31 2024,Rock Island,IL,Passenger,0,1,1,9,10,10.00
November 30 2023,Allen,IN,Passenger,1,0,1,10,11,9.09
February 28 2023,Orange,NC,Passenger,0,1,1,6,7,14.29
March 31 2024,Alameda,CA,Passenger,3,1,4,129,133,3.01
August 31 2017,Grays Harbor,WA,Truck,0,0,0,19931,19931,0.00
January 31 2017,Garfield,WA,Passenger,0,0,0,1285,1285,0.00
February 28 2022,Solano,CA,Passenger,1,0,1,178,179,0.56
January 31 2019,Ada,ID,Passenger,0,2,2,323,325,0.62
April 30 2022,Gwinnett,GA,Passenger,1,0,1,55,56,1.79
September 30 2017,DeKalb,IN,Passenger,1,0,1,1,2,50.00
November 30 2023,Houston,GA,Passenger,1,0,1,28,29,3.45
July 31 2021,Houston,GA,Passenger,1,0,1,47,48,2.08
July 31 2017,Ferry,WA,Passenger,1,1,2,4402,4404,0.05
August 31 2020,Yakima,WA,Truck,0,0,0,60413,60413,0.00
December 31 2023,New London,CT,Passenger,2,2,4,151,155,2.58
January 31 2018,Clay,FL,Passenger,0,1,1,105,106,0.94
March 31 2020,Portsmouth,VA,Passenger,0,1,1,76,77,1.30
July 31 2020,Spartanburg,SC,Passenger,0,1,1,50,51,1.96
